戦闘1回目,バランス重視
ターン数,仲間の行動,HP,攻撃力,防御力,ボスの行動,敵のHP,敵の攻撃力,敵の防御力,FB回数(味方行動時),FB回数（敵行動時）
1ターン目,攻撃ダウン,476,1,1,通常攻撃,1140,0.7692308,1,0回,0回
2ターン目,攻撃アップ,452,1.3,1,通常攻撃,1080,0.7692308,1,1回,0回
3ターン目,攻撃アップ,428,1.69,1,通常攻撃,999,0.7692308,1,2回,0回
4ターン目,アイス,428,1.69,1,防御アップ,830,0.7692308,1.3,1回,0回
5ターン目,防御アップ,428,1.69,1.3,攻撃アップ,724,1,1.3,0回,0回
6ターン目,防御ダウン,428,1.69,1.3,攻撃アップ,618,1.3,1,0回,0回
7ターン目,ヒール,461,1.69,1.3,通常攻撃,509,1.3,1,0回,0回
8ターン目,防御ダウン,461,1.69,1.3,防御アップ,400,1.3,1,0回,0回
9ターン目,攻撃アップ,422,2.197,1.3,通常攻撃,291,1.3,1,1回,0回
10ターン目,ファイヤ,422,2.197,1.3,攻撃アップ,87,1.69,1,0回,1回
11ターン目,主人公のアクションで終了,422,2.197,1.3,死亡,0,1.69,1,0回,0回
 
戦闘2回目,バランス重視
ターン数,仲間の行動,HP,攻撃力,防御力,ボスの行動,敵のHP,敵の攻撃力,敵の防御力,FB回数(味方行動時),FB回数（敵行動時）
1ターン目,ファイヤ,470,1,1,通常攻撃,1080,1,1,0回,0回
2ターン目,防御ダウン,470,1,1,回復,1120,1,0.7692308,0回,0回
3ターン目,攻撃ダウン,470,1,1,回復,1157,0.7692308,0.7692308,0回,0回
4ターン目,サンダー,446,1,1,通常攻撃,1034,0.7692308,0.7692308,0回,0回
5ターン目,ファイヤ,446,1,1,攻撃アップ,911,1,0.7692308,0回,0回
6ターン目,攻撃アップ,416,1.3,1,通常攻撃,848,1,0.7692308,0回,0回
7ターン目,サンダー,416,1.3,1,防御アップ,704,1,1,0回,0回
8ターン目,攻撃アップ,386,1.69,1,通常攻撃,623,1,1,0回,0回
9ターン目,防御アップ,386,1.69,1.3,攻撃アップ,514,1.3,1,0回,0回
10ターン目,攻撃ダウン,386,1.69,1.3,攻撃アップ,405,1.3,1,0回,0回
11ターン目,攻撃アップ,386,2.197,1.3,防御アップ,296,1.3,1.3,0回,0回
12ターン目,アイス,347,2.197,1.3,通常攻撃,95,1.3,1.3,0回,0回
13ターン目,主人公のアクションで終了,347,2.197,1.3,死亡,0,1.3,1.3,0回,0回
 
戦闘3回目,バランス重視
ターン数,仲間の行動,HP,攻撃力,防御力,ボスの行動,敵のHP,敵の攻撃力,敵の防御力,FB回数(味方行動時),FB回数（敵行動時）
1ターン目,防御ダウン,500,1,1,防御アップ,1140,1,1,0回,0回
2ターン目,攻撃アップ,500,1.3,1,回復,1180,1,1,0回,0回
3ターン目,ファイヤ,470,1.3,1,通常攻撃,1039,1,1,0回,0回
4ターン目,攻撃アップ,470,1.69,1,防御アップ,958,1,1.3,0回,0回
5ターン目,攻撃アップ,440,2.197,1,通常攻撃,852,1,1.3,0回,0回
6ターン目,攻撃アップ,410,2.8561,1,通常攻撃,711,1,1.3,0回,0回
7ターン目,ファイヤ,410,2.8561,1,回復,564,1,1.3,0回,0回
8ターン目,ファイヤ,410,2.8561,1,防御アップ,317,1,1.69,0回,0回
9ターン目,攻撃アップ,380,3.712929,1,通常攻撃,133,1,1.69,0回,0回
10ターン目,主人公のアクションで終了,380,3.712929,1,死亡,0,1,1.69,0回,0回
 
